4001;1001;3001;2002;10;80.0
4001;1001;3002;2002;5;50.0
4001;1001;3003;2002;1;6.0
4002;1001;3001;2002;1;80.0
4002;1001;3003;2002;1;6.0
4002;1001;3002;2002;1;50.0
4002;1001;3005;2002;1;450.0
4002;1001;3006;2002;1;950.0
4003;1001;3001;2002;1;80.0
4003;1001;3002;2002;1;50.0
4003;1001;3005;2002;2;450.0
4004;1003;3005;2002;1;450.0
4005;1002;3001;2002;1;80.0
4005;1002;3002;2002;2;50.0
4006;1003;3001;2002;1;80.0
4007;1001;3005;2002;1;450.0
4007;1001;3004;2002;1;220.0
4008;1005;3002;2002;1;50.0
4008;1005;3005;2002;1;450.0
4008;1005;3003;2002;1;6.0
4009;1003;3005;2002;5;450.0
4009;1003;3004;2002;1;220.0
4009;1003;3002;2002;10;50.0
4010;1003;3005;2002;1;450.0
4011;1005;3005;2002;1;450.0
4012;1005;3002;2002;5;50.0
4013;1002;3002;2002;2;50.0
4014;1005;3001;2002;1;80.0
4014;1005;3002;2002;3;50.0
4015;1004;3002;2002;1;50.0
4016;1003;3006;2002;1;950.0
4017;1001;3001;2002;5;80.0
4017;1001;3002;2002;2;50.0
4017;1001;3005;2002;1;450.0
